"";"exercicio";"instituicao";"cod_ibge";"uf";"anexo";"rotulo";"coluna";"cod_conta";"conta";"valor";"populacao";"cod_interno"
"4028";2018;"Prefeitura Municipal de Itiruçu - BA";2916906;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2853720,8;13280;"TotalReceitas"
"4029";2018;"Prefeitura Municipal de Itiúba - BA";2917003;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";84581815,02;37500;"TotalReceitas"
"4030";2018;"Prefeitura Municipal de Itiúba - BA";2917003;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";6164868,09;37500;"TotalReceitas"
"4031";2018;"Prefeitura Municipal de Itororó - BA";2917102;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";74031546,43;21210;"TotalReceitas"
"4032";2018;"Prefeitura Municipal de Itororó - BA";2917102;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4422312,07;21210;"TotalReceitas"
"4033";2018;"Prefeitura Municipal de Ituaçu - BA";2917201;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";49355576,01;19494;"TotalReceitas"
"4034";2018;"Prefeitura Municipal de Ituaçu - BA";2917201;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";4493069,11;19494;"TotalReceitas"
"4035";2018;"Prefeitura Municipal de Ituberá - BA";2917300;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";63057273,52;29273;"TotalReceitas"
"4036";2018;"Prefeitura Municipal de Ituberá - BA";2917300;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";-5486355,7;29273;"TotalReceitas"
"4037";2018;"Prefeitura Municipal de Iuiú - BA";2917334;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";32975674,73;11366;"TotalReceitas"
"4038";2018;"Prefeitura Municipal de Iuiú - BA";2917334;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";2920338,77;11366;"TotalReceitas"
"4039";2018;"Prefeitura Municipal de Jaborandi - BA";2917359;"BA";"DCA-Anexo I-C";"Padrão";"Receitas Brutas Realizadas";"TotalReceitas";"Total Receitas";49784395,49;9138;"TotalReceitas"
"4040";2018;"Prefeitura Municipal de Jaborandi - BA";2917359;"BA";"DCA-Anexo I-C";"Padrão";"Deduções - FUNDEB";"TotalReceitas";"Total Receitas";5905504,94;9138;"TotalReceitas"
